"Time","141006A","","141006A","","141006A","",""
"and","140.00","","140.00","","140.00","",""
"Date","Discharge (Cumecs)","","Discharge (Cumecs)","","Discharge (Cumecs)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 18/09/1972,      0.0025,     20,      0.0025,     20,      0.0025,     20, 
00:00:00 19/09/1972,      0.0010,     20,      0.0000,     20,      0.0025,     20, 
00:00:00 20/09/1972,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 21/09/1972,      0.0008,     20,      0.0000,     20,      0.0015,     20, 
00:00:00 22/09/1972,      0.0003,     20,      0.0000,     20,      0.0015,     20, 
00:00:00 23/09/1972,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 24/09/1972,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 25/09/1972,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 26/09/1972,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 27/09/1972,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 28/09/1972,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 29/09/1972,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 30/09/1972,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 01/10/1972,      0.1548,     20,      0.0000,     20,      0.6160,     20, 
00:00:00 02/10/1972,      0.2848,     20,      0.1581,     20,      0.4973,     20, 
00:00:00 03/10/1972,      0.1059,     20,      0.0685,     20,      0.1581,     20, 
00:00:00 04/10/1972,      0.0526,     20,      0.0435,     20,      0.0685,     20, 
00:00:00 05/10/1972,      0.0386,     20,      0.0340,     20,      0.0435,     20, 
00:00:00 06/10/1972,      0.0305,     20,      0.0270,     20,      0.0340,     20, 
00:00:00 07/10/1972,      0.0238,     20,      0.0205,     20,      0.0270,     20, 
00:00:00 08/10/1972,      0.0200,     20,      0.0200,     20,      0.0205,     20, 
00:00:00 09/10/1972,      0.0168,     20,      0.0130,     20,      0.0200,     20, 
00:00:00 10/10/1972,      0.0125,     20,      0.0125,     20,      0.0130,     20, 
00:00:00 11/10/1972,      0.0125,     20,      0.0125,     20,      0.0125,     20, 
00:00:00 12/10/1972,      0.0087,     20,      0.0050,     20,      0.0125,     20, 
00:00:00 13/10/1972,      0.0108,     20,      0.0045,     20,      0.0125,     20, 
00:00:00 14/10/1972,      0.0076,     20,      0.0031,     20,      0.0125,     20, 
00:00:00 15/10/1972,      0.0014,     20,      0.0000,     20,      0.0031,     20, 
00:00:00 16/10/1972,      0.0018,     20,      0.0007,     20,      0.0025,     20, 
00:00:00 17/10/1972,      0.0033,     20,      0.0025,     20,      0.0045,     20, 
00:00:00 18/10/1972,      0.0133,     20,      0.0045,     20,      0.0308,     20, 
00:00:00 19/10/1972,      0.0610,     20,      0.0308,     20,      0.1265,     20, 
00:00:00 20/10/1972,      0.0956,     20,      0.0705,     20,      0.1265,     20, 
00:00:00 21/10/1972,      0.0585,     20,      0.0435,     20,      0.0935,     20, 
00:00:00 22/10/1972,      0.4374,     20,      0.0935,     20,      0.9345,     20, 
00:00:00 23/10/1972,      0.1296,     20,      0.0710,     20,      0.2129,     20, 
00:00:00 24/10/1972,      0.0547,     20,      0.0435,     20,      0.0710,     20, 
00:00:00 25/10/1972,      0.0388,     20,      0.0340,     20,      0.0435,     20, 
